L,N,k,instance_idx,n_colors,n_quartets,rng_seed,syk_generator_model,quartet_sampling_model,coupling_model,parent_coloring_model,numpy_version,networkx_version,quartets_sha256,coloring_sha256
5,25,1.0,4,14,44,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,8fec810a64c20c37342487fc98a6e5b97f61935c03b42277bb7951e0e93cc532,9d8289c0e7e71f9b3b954ba921a63875d15c7456cd5ff67c49e6f2ee6e2dd60d
5,25,1.0,5,13,41,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,c5a26c366d22a5e5449d5b8e0f21f3b810a85c15e37d32dbbcdf18f64ecbb44c,dfba061a291e202f5c32aff4f7b9234cbc1971539f6d4d66f456dadd7863b6d1
5,25,1.0,6,19,64,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,339a26700697fdd5c0e1b210b90ad9907d5fbdfb398c5d04450c0986ef13ea6d,f670b36eddebb46bc9cd683fb0b8a84b40c9d94105860c0ded174b5aade7e157
5,25,1.0,7,14,53,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,6ae7f4d100c89eaf47f3c2bf56c029ac21ca3fc8c973d528d4ca531912237970,31feb1fee64dde1b466de6e0ca2da4150fa649cedd35a863e21e89006b2ad26c
5,25,1.0,8,13,45,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,ac193d8c824a09fea41d0dde7e3ac8911e8b7bca579c5103999c362e3dd2435f,8d2d280bcf3fc14dbe0d632df41a637cdcc8a4b923aca41aa4913d8611ec4784
5,25,1.0,9,15,51,9,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,5e3a8f64fc80b77dfd1c0961ea0797a9f5d6f5f186b692f073c112d2f6cbaf61,cdaf60f9ac30b4a377f4ee2e4dd4455c5abc1d6f435a5e7d8a9ba72471d36463
5,25,2.0,0,26,111,0,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,77dee84458b2f815062a408b3e18c7f0beb24293148e02ff65c4da837905db01,ca5323b89cdb9cbadc7c88401faaed3351b22d2d5f45fec5f939ffdfddf01401
5,25,2.0,1,24,94,1,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,a9c72e9890b8bad11a419821f063131bd2eb10ba296b5963aac6a78406961e82,6b4dd9a000c47d7f6400cc1739c436d474994562fbdc35adf75118a62978146f
5,25,2.0,2,25,104,2,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,4575a079a52962a68b0f6d4ab6e0c6979453ae5b3a4a8d21d999f6ae358fedcb,f6326081aee33d6574380385c02bdc410c5edbe432cfdc7e4c20bb6b2d6b8060
5,25,2.0,3,29,107,3,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,a0140cc9ec704885c80259f0a464aee7da72b27f168c82734d16f75a086b05f5,a02b687211c0590912ef1e604976762c3ae1d29a1cf988f181f6de40e0cf0080
5,25,2.0,4,24,93,4,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,75cd1b3e9dce3b93aee828567e66fbf31e81f5e438cb66e2d719e6a9d42e373e,dd7d0a48759d175307118942a475fdbb149443222594abfe355fb8324fd8b21b
5,25,2.0,5,24,88,5,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,85c390d0c980fd1e767972361470f3cfb8842629379b265a7d86e9c33b10d2c0,8df59cb7876dc897256b6d98d7f9d0365458d642caa2c8426bc48b7ecc4e19f1
5,25,2.0,6,30,117,6,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,d671f3261a3950823572f8be3fe679ad258829a471e23ada479b0d5dccc2c14d,2e23f55780ddcdf0b54178fe23b97e5e7f5baaaa1b959a0c666f6d822ccedeee
5,25,2.0,7,26,110,7,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,1d9858fe70a582fb5c12f2927b56a633ce42f6ba22aaa4011c6ba57156d2ea5f,a832700472735d08133bcc284968cd6c375a1bd57f04074bf1c5a6541e8ef25d
5,25,2.0,8,26,97,8,sparse_syk_majorana_v1,enumerate_lt_2m_else_binomial_rejection_v1,gaussian_std_sqrt_6_over_M_cubed_v1,networkx_greedy_largest_first_parent_v1,2.5.2,3.6.1,b26dd3d6199bff728387d2554f5cbbb035484c31c4a80e78d463939166e0f371,069a82e96550349cba5de7956a4bb838358fbdd9fdf4ac61e589faff2316a7c1
