L,N,k,instance_idx,baseline,n_colors,n_quartets,n_ancillas,total_qubits,cnot_depth,fp_cnot_depth,interaction_cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity
6,36,1.0,1,ancilla,15,70,6,42,3389,3276,113,15186,18158,93570,142338,0.0001,1e-05,0.08591639441127455
6,36,1.0,1,ancilla,15,70,6,42,3389,3276,113,15186,18158,93570,142338,1e-05,1.0000000000000002e-06,0.7823674169806455
6,36,1.0,1,primitive,15,70,0,36,5669,5556,113,22386,25358,143544,204084,0.001,0.0001,1.0931279357693013e-16
6,36,1.0,1,primitive,15,70,0,36,5669,5556,113,22386,25358,143544,204084,0.0001,1e-05,0.025370730429744585
6,36,1.0,1,primitive,15,70,0,36,5669,5556,113,22386,25358,143544,204084,1e-05,1.0000000000000002e-06,0.6925289816192659
6,36,1.0,1,pipelined,15,70,0,36,4409,4296,113,19986,22958,102984,158724,0.001,0.0001,6.967640746403637e-14
6,36,1.0,1,pipelined,15,70,0,36,4409,4296,113,19986,22958,102984,158724,0.0001,1e-05,0.048385984391096024
6,36,1.0,1,pipelined,15,70,0,36,4409,4296,113,19986,22958,102984,158724,1e-05,1.0000000000000002e-06,0.738713550576098
6,36,1.0,2,naive_pauli,13,62,0,36,1884,0,1884,1884,1884,64056,67824,0.001,0.0001,0.00025079794830920544
6,36,1.0,2,naive_pauli,13,62,0,36,1884,0,1884,1884,1884,64056,67824,0.0001,1e-05,0.4364975033388915
6,36,1.0,2,naive_pauli,13,62,0,36,1884,0,1884,1884,1884,64056,67824,1e-05,1.0000000000000002e-06,0.9204467525284928
6,36,1.0,2,1d,13,62,0,36,1525,1428,97,6214,12064,16768,54900,0.001,0.0001,0.0003729773296903269
6,36,1.0,2,1d,13,62,0,36,1525,1428,97,6214,12064,16768,54900,0.0001,1e-05,0.4542480291178259
6,36,1.0,2,1d,13,62,0,36,1525,1428,97,6214,12064,16768,54900,1e-05,1.0000000000000002e-06,0.9241246451532538
6,36,1.0,2,ancilla,13,62,6,42,2947,2850,97,13258,15908,81088,123774,0.001,0.0001,5.217467027018682e-10
6,36,1.0,2,ancilla,13,62,6,42,2947,2850,97,13258,15908,81088,123774,0.0001,1e-05,0.11803780212328056
6,36,1.0,2,ancilla,13,62,6,42,2947,2850,97,13258,15908,81088,123774,1e-05,1.0000000000000002e-06,0.8076159010682711
6,36,1.0,2,primitive,13,62,0,36,4923,4826,97,19498,22148,124372,177228,0.001,0.0001,1.3372481677234912e-14
6,36,1.0,2,primitive,13,62,0,36,4923,4826,97,19498,22148,124372,177228,0.0001,1e-05,0.04102294580129601
6,36,1.0,2,primitive,13,62,0,36,4923,4826,97,19498,22148,124372,177228,1e-05,1.0000000000000002e-06,0.7266189805656238
6,36,1.0,2,pipelined,13,62,0,36,3831,3734,97,17418,20068,89220,137916,0.001,0.0001,3.6033363343573855e-12
6,36,1.0,2,pipelined,13,62,0,36,3831,3734,97,17418,20068,89220,137916,0.0001,1e-05,0.07178415161905567
6,36,1.0,2,pipelined,13,62,0,36,3831,3734,97,17418,20068,89220,137916,1e-05,1.0000000000000002e-06,0.7684337585284294
6,36,1.0,3,naive_pauli,15,74,0,36,2330,0,2330,2330,2330,79220,83880,0.001,0.0001,3.52317848658415e-05
6,36,1.0,3,naive_pauli,15,74,0,36,2330,0,2330,2330,2330,79220,83880,0.0001,1e-05,0.35871911299373693
6,36,1.0,3,naive_pauli,15,74,0,36,2330,0,2330,2330,2330,79220,83880,1e-05,1.0000000000000002e-06,0.9025599574691139
6,36,1.0,3,1d,15,74,0,36,1862,1750,112,7600,14766,20332,67032,0.001,0.0001,6.526176627187664e-05
6,36,1.0,3,1d,15,74,0,36,1862,1750,112,7600,14766,20332,67032,0.0001,1e-05,0.3816088991183057
6,36,1.0,3,1d,15,74,0,36,1862,1750,112,7600,14766,20332,67032,1e-05,1.0000000000000002e-06,0.9081621017405325
6,36,1.0,3,ancilla,15,74,6,42,3422,3310,112,15360,18466,93894,143724,0.001,0.0001,1.7698262851603533e-11
6,36,1.0,3,ancilla,15,74,6,42,3422,3310,112,15360,18466,93894,143724,0.0001,1e-05,0.08416118078532835
6,36,1.0,3,ancilla,15,74,6,42,3422,3310,112,15360,18466,93894,143724,1e-05,1.0000000000000002e-06,0.7807542690471113
6,36,1.0,3,primitive,15,74,0,36,5702,5590,112,22560,25666,143772,205272,0.001,0.0001,8.97766788270615e-17
6,36,1.0,3,primitive,15,74,0,36,5702,5590,112,22560,25666,143772,205272,0.0001,1e-05,0.024876293528053917
6,36,1.0,3,primitive,15,74,0,36,5702,5590,112,22560,25666,143772,205272,1e-05,1.0000000000000002e-06,0.6911674187028107
6,36,1.0,3,pipelined,15,74,0,36,4442,4330,112,20160,23266,103212,159912,0.001,0.0001,5.722401056670474e-14
6,36,1.0,3,pipelined,15,74,0,36,4442,4330,112,20160,23266,103212,159912,0.0001,1e-05,0.047443015237179254
6,36,1.0,3,pipelined,15,74,0,36,4442,4330,112,20160,23266,103212,159912,1e-05,1.0000000000000002e-06,0.737261185399993
6,36,1.0,4,naive_pauli,15,75,0,36,2384,0,2384,2384,2384,81056,85824,0.001,0.0001,2.7779892168114796e-05
6,36,1.0,4,naive_pauli,15,75,0,36,2384,0,2384,2384,2384,81056,85824,0.0001,1e-05,0.3502962781385534
6,36,1.0,4,naive_pauli,15,75,0,36,2384,0,2384,2384,2384,81056,85824,1e-05,1.0000000000000002e-06,0.9004180173810169
