L,N,perm_kind,perm_idx,baseline,accounting_model,hall_decomposition_model,gamma_schedule_model,sampling_model,stim_seed,permutation_model,permutation_seed,permutation_sha256,numpy_version,cirq_version,openfermion_version,stim_version,n_ancillas,total_qubits,cnot_depth,total_cnots,n_fswap,n_2q_cnot_cz,total_idle_slots_layered,total_2q_gates_legacy,total_idle_slots_legacy,n_1q_hadamard,n_1q_other,n_1q_s_sdag,n_1q_rz,n_1q_pauli_z,spacetime_volume,p_2q,p_idle,mult_fidelity,mult_fidelity_legacy,stim_fidelity,stim_fidelity_ci_lo,stim_fidelity_ci_hi,stim_shots
4,16,random,1,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,939230288348416458,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,30,114,57,0,252,57,126,0,0,0,0,0,480,1e-05,1e-05,0.9963466714029061,0.9981716642957292,0.996247,0.9961252334970487,0.9963649538927064,1000000
4,16,random,1,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,2974692645940905817,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,4,20,128,348,31,286,1864,317,1746,0,0,0,0,0,2560,0.0001,0.0001,0.8015474872321299,0.8135805702924959,0.811377,0.8106090491410295,0.8121425585842762,1000000
4,16,random,1,ancilla,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,6672618027733449846,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,4,20,128,348,31,286,1864,317,1746,0,0,0,0,0,2560,1e-05,1e-05,0.9781227450850475,0.9795812415777639,0.979311,0.9790301699433749,0.9795881475637757,1000000
4,16,random,1,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,723382276642046674,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,102,296,31,234,1040,265,958,0,0,0,0,12,1632,0.0001,0.0001,0.8749341256365741,0.884877452416852,0.87534,0.8746911170216607,0.8759859992830639,1000000
4,16,random,1,primitive,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,1805979222755633661,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,102,296,31,234,1040,265,958,0,0,0,0,12,1632,1e-05,1e-05,0.986728782773193,0.9878444220934296,0.986764,0.9865381304318636,0.9869861298147208,1000000
4,16,random,1,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,8274888387443480625,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,88,272,31,210,864,241,782,0,0,0,0,12,1408,0.0001,0.0001,0.8926098600784942,0.9027540655289343,0.892606,0.8919976597737815,0.8932113238781947,1000000
4,16,random,1,pipelined,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,698393843315700340,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,88,272,31,210,864,241,782,0,0,0,0,12,1408,1e-05,1e-05,0.9887042249997005,0.9898220978425232,0.988593,0.9883829812501498,0.988799264944432,1000000
4,16,random,1,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,4075073535537101651,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,32,154,31,92,204,123,122,0,0,0,0,8,512,0.0001,0.0001,0.964831513670815,0.9757964934872772,0.964743,0.9643797373964128,0.9651026920350537,1000000
4,16,random,1,folded,native_cnot_layers_stim_uniform_v2,canonical_augmenting_v1,folded_boundary_l3_l6_v1,stim_flipsim_process_fidelity_sha256_row_key_v3,1938153634494597170,build_benchmark_permutation_raster_v1,1,d1d448b1e059ee9f98ba7d7d51a937a2c7e5651dfad3d5a75f451198e350a641,2.5.2,1.7.0,1.8.1,1.16.0,0,16,32,154,31,92,204,123,122,0,0,0,0,8,512,1e-05,1e-05,0.9964263827235855,0.9975529865803852,0.996371,0.9962512219069165,0.9964869645301605,1000000
4,16,random,2,1d,native_cnot_layers_stim_uniform_v2,not_applicable_1d,not_applicable,stim_flipsim_process_fidelity_sha256_row_key_v3,8535088421054589586,build_benchmark_permutation_raster_v1,2,22ee652fd49cb42b5cb97a9a4ab613c6f13930b3bf1386d8d689499416b8fa91,2.5.2,1.7.0,1.8.1,1.16.0,0,16,24,138,69,0,108,69,54,0,0,0,0,0,384,0.0001,0.0001,0.9756989138379284,0.9877747282847079,0.975652,0.9753480842203311,0.9759522613985073,1000000
