L,N,perm_kind,perm_idx,baseline,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnots,total_idle_slots,spacetime_volume,p_2q,p_idle,mult_fidelity,stim_fidelity,stim_shots
4,16,random,6,1d,0,16,62,62,62,868,992,0.0001,1e-05,0.9852298119280192,0.985,1000
4,16,random,6,1d,0,16,62,62,62,868,992,1e-05,1.0000000000000002e-06,0.9985131029943082,1.0,1000
4,16,random,6,ancilla,4,20,196,196,196,3528,3920,0.001,0.0001,0.5775757325563327,0.707,1000
4,16,random,6,ancilla,4,20,196,196,196,3528,3920,0.0001,1e-05,0.946597638277254,0.968,1000
4,16,random,6,ancilla,4,20,196,196,196,3528,3920,1e-05,1.0000000000000002e-06,0.9945270200608234,0.999,1000
4,16,random,6,primitive,0,16,264,264,264,3696,4224,0.001,0.0001,0.5305980197940917,0.632,1000
4,16,random,6,primitive,0,16,264,264,264,3696,4224,0.0001,1e-05,0.9386041023787265,0.958,1000
4,16,random,6,primitive,0,16,264,264,264,3696,4224,1e-05,1.0000000000000002e-06,0.9936840151689158,0.996,1000
4,16,random,6,pipelined,0,16,240,240,240,3360,3840,0.001,0.0001,0.562065503741581,0.651,1000
4,16,random,6,pipelined,0,16,240,240,240,3360,3840,0.0001,1e-05,0.9440261914126841,0.964,1000
4,16,random,6,pipelined,0,16,240,240,240,3360,3840,1e-05,1.0000000000000002e-06,0.9942565433937205,0.995,1000
4,16,random,7,1d,0,16,46,46,46,644,736,0.001,0.0001,0.8954523802971921,0.915,1000
4,16,random,7,1d,0,16,46,46,46,644,736,0.0001,1e-05,0.9890204578189083,0.989,1000
4,16,random,7,1d,0,16,46,46,46,644,736,1e-05,1.0000000000000002e-06,0.9988966065646608,1.0,1000
4,16,random,7,ancilla,4,20,186,186,186,3348,3720,0.001,0.0001,0.5939798972755789,0.674,1000
4,16,random,7,ancilla,4,20,186,186,186,3348,3720,0.0001,1e-05,0.949251881801956,0.959,1000
4,16,random,7,ancilla,4,20,186,186,186,3348,3720,1e-05,1.0000000000000002e-06,0.9948055272024819,0.999,1000
4,16,random,7,primitive,0,16,254,254,254,3556,4064,0.001,0.0001,0.5434895140867706,0.663,1000
4,16,random,7,primitive,0,16,254,254,254,3556,4064,0.0001,1e-05,0.9408595112002571,0.962,1000
4,16,random,7,primitive,0,16,254,254,254,3556,4064,1e-05,1.0000000000000002e-06,0.9939225285194884,0.999,1000
4,16,random,7,pipelined,0,16,230,230,230,3220,3680,0.001,0.0001,0.5757215370535943,0.691,1000
4,16,random,7,pipelined,0,16,230,230,230,3220,3680,0.0001,1e-05,0.9462946291858328,0.957,1000
4,16,random,7,pipelined,0,16,230,230,230,3220,3680,1e-05,1.0000000000000002e-06,0.9944951941678836,0.998,1000
4,16,random,8,1d,0,16,53,53,53,742,848,0.001,0.0001,0.8805309264490453,0.907,1000
4,16,random,8,1d,0,16,53,53,53,742,848,0.0001,1e-05,0.9873602589761687,0.993,1000
4,16,random,8,1d,0,16,53,53,53,742,848,1e-05,1.0000000000000002e-06,0.9987288056318999,1.0,1000
4,16,random,8,ancilla,4,20,197,197,197,3546,3940,0.001,0.0001,0.5759604424780196,0.67,1000
4,16,random,8,ancilla,4,20,197,197,197,3546,3940,0.0001,1e-05,0.9463326224580177,0.962,1000
4,16,random,8,ancilla,4,20,197,197,197,3546,3940,1e-05,1.0000000000000002e-06,0.9944991736354364,0.995,1000
4,16,random,8,primitive,0,16,265,265,265,3710,4240,0.001,0.0001,0.5293258095522759,0.649,1000
4,16,random,8,primitive,0,16,265,265,265,3710,4240,0.0001,1e-05,0.9383788590747152,0.961,1000
4,16,random,8,primitive,0,16,265,265,265,3710,4240,1e-05,1.0000000000000002e-06,0.9936601669820911,0.995,1000
4,16,random,8,pipelined,0,16,241,241,241,3374,3856,0.001,0.0001,0.5607178441881042,0.642,1000
4,16,random,8,pipelined,0,16,241,241,241,3374,3856,0.0001,1e-05,0.943799646932548,0.955,1000
4,16,random,8,pipelined,0,16,241,241,241,3374,3856,1e-05,1.0000000000000002e-06,0.9942326814663506,1.0,1000
4,16,random,9,1d,0,16,60,60,60,840,960,0.001,0.0001,0.8658581176319928,0.893,1000
4,16,random,9,1d,0,16,60,60,60,840,960,0.0001,1e-05,0.9857028469920583,0.988,1000
4,16,random,9,1d,0,16,60,60,60,840,960,1e-05,1.0000000000000002e-06,0.9985610328873947,0.999,1000
4,16,random,9,ancilla,4,20,194,194,194,3492,3880,0.001,0.0001,0.5808199157366549,0.665,1000
4,16,random,9,ancilla,4,20,194,194,194,3492,3880,0.0001,1e-05,0.9471278925856592,0.968,1000
4,16,random,9,ancilla,4,20,194,194,194,3492,3880,1e-05,1.0000000000000002e-06,0.9945827152507567,0.997,1000
4,16,random,9,primitive,0,16,262,262,262,3668,4192,0.001,0.0001,0.5331516207231995,0.624,1000
4,16,random,9,primitive,0,16,262,262,262,3668,4192,0.0001,1e-05,0.939054751198221,0.956,1000
4,16,random,9,primitive,0,16,262,262,262,3668,4192,1e-05,1.0000000000000002e-06,0.9937317132596731,0.993,1000
4,16,random,9,pipelined,0,16,238,238,238,3332,3808,0.001,0.0001,0.5647705477467038,0.658,1000
4,16,random,9,pipelined,0,16,238,238,238,3332,3808,0.0001,1e-05,0.9444794435214846,0.971,1000
4,16,random,9,pipelined,0,16,238,238,238,3332,3808,1e-05,1.0000000000000002e-06,0.9943042689665572,0.997,1000
4,16,random,10,1d,0,16,65,65,65,910,1040,0.001,0.0001,0.855527473680359,0.91,1000
4,16,random,10,1d,0,16,65,65,65,910,1040,0.0001,1e-05,0.9845206849374198,0.992,1000
4,16,random,10,1d,0,16,65,65,65,910,1040,1e-05,1.0000000000000002e-06,0.9984412124682409,1.0,1000
4,16,random,10,ancilla,4,20,197,197,197,3546,3940,0.001,0.0001,0.5759604424780196,0.679,1000
4,16,random,10,ancilla,4,20,197,197,197,3546,3940,0.0001,1e-05,0.9463326224580177,0.973,1000
4,16,random,10,ancilla,4,20,197,197,197,3546,3940,1e-05,1.0000000000000002e-06,0.9944991736354364,0.996,1000
4,16,random,10,primitive,0,16,265,265,265,3710,4240,0.001,0.0001,0.5293258095522759,0.646,1000
4,16,random,10,primitive,0,16,265,265,265,3710,4240,0.0001,1e-05,0.9383788590747152,0.94,1000
4,16,random,10,primitive,0,16,265,265,265,3710,4240,1e-05,1.0000000000000002e-06,0.9936601669820911,0.993,1000
4,16,random,10,pipelined,0,16,241,241,241,3374,3856,0.001,0.0001,0.5607178441881042,0.671,1000
4,16,random,10,pipelined,0,16,241,241,241,3374,3856,0.0001,1e-05,0.943799646932548,0.959,1000
4,16,random,10,pipelined,0,16,241,241,241,3374,3856,1e-05,1.0000000000000002e-06,0.9942326814663506,0.998,1000
4,16,random,11,1d,0,16,64,64,64,896,1024,0.001,0.0001,0.8575836946212789,0.893,1000
4,16,random,11,1d,0,16,64,64,64,896,1024,0.0001,1e-05,0.9847570038717163,0.996,1000
4,16,random,11,1d,0,16,64,64,64,896,1024,1e-05,1.0000000000000002e-06,0.9984651754018067,1.0,1000
4,16,random,11,ancilla,4,20,198,198,198,3564,3960,0.001,0.0001,0.5743496698367975,0.646,1000
4,16,random,11,ancilla,4,20,198,198,198,3564,3960,0.0001,1e-05,0.9460676808343866,0.96,1000
4,16,random,11,ancilla,4,20,198,198,198,3564,3960,1e-05,1.0000000000000002e-06,0.99447132798974,0.999,1000
4,16,random,11,primitive,0,16,266,266,266,3724,4256,0.001,0.0001,0.5280566496778551,0.613,1000
4,16,random,11,primitive,0,16,266,266,266,3724,4256,0.0001,1e-05,0.9381536698238941,0.944,1000
4,16,random,11,primitive,0,16,266,266,266,3724,4256,1e-05,1.0000000000000002e-06,0.9936363193676174,0.994,1000
4,16,random,11,pipelined,0,16,242,242,242,3388,3872,0.001,0.0001,0.5593734159061786,0.667,1000
4,16,random,11,pipelined,0,16,242,242,242,3388,3872,0.0001,1e-05,0.9435731568178544,0.967,1000
4,16,random,11,pipelined,0,16,242,242,242,3388,3872,1e-05,1.0000000000000002e-06,0.9942088201116617,0.998,1000
4,16,random,12,1d,0,16,58,58,58,812,928,0.001,0.0001,0.8700252196775653,0.905,1000
4,16,random,12,1d,0,16,58,58,58,812,928,0.0001,1e-05,0.9861761091728263,0.989,1000
4,16,random,12,1d,0,16,58,58,58,812,928,1e-05,1.0000000000000002e-06,0.9986089650811769,0.998,1000
4,16,random,12,ancilla,4,20,190,190,190,3420,3800,0.001,0.0001,0.5873630511743726,0.677,1000
4,16,random,12,ancilla,4,20,190,190,190,3420,3800,0.0001,1e-05,0.9481892924643569,0.976,1000
4,16,random,12,ancilla,4,20,190,190,190,3420,3800,1e-05,1.0000000000000002e-06,0.9946941149878715,0.996,1000
4,16,random,12,primitive,0,16,258,258,258,3612,4128,0.001,0.0001,0.5382957507554986,0.643,1000
4,16,random,12,primitive,0,16,258,258,258,3612,4128,0.0001,1e-05,0.9399566980465841,0.949,1000
4,16,random,12,primitive,0,16,258,258,258,3612,4128,1e-05,1.0000000000000002e-06,0.9938271163100035,0.993,1000
4,16,random,12,pipelined,0,16,234,234,234,3276,3744,0.001,0.0001,0.5702197539820351,0.668,1000
4,16,random,12,pipelined,0,16,234,234,234,3276,3744,0.0001,1e-05,0.9453866006987856,0.962,1000
4,16,random,12,pipelined,0,16,234,234,234,3276,3744,1e-05,1.0000000000000002e-06,0.9943997269850047,0.992,1000
4,16,random,13,1d,0,16,30,30,30,420,480,0.001,0.0001,0.9305149744265231,0.947,1000
4,16,random,13,1d,0,16,30,30,30,420,480,0.0001,1e-05,0.9928256881205576,0.991,1000
4,16,random,13,1d,0,16,30,30,30,420,480,1e-05,1.0000000000000002e-06,0.9992802574290132,1.0,1000
4,16,random,13,ancilla,4,20,188,188,188,3384,3760,0.001,0.0001,0.590662208711565,0.709,1000
4,16,random,13,ancilla,4,20,188,188,188,3384,3760,0.0001,1e-05,0.9487204383675183,0.97,1000
4,16,random,13,ancilla,4,20,188,188,188,3384,3760,1e-05,1.0000000000000002e-06,0.9947498195354024,0.998,1000
4,16,random,13,primitive,0,16,256,256,256,3584,4096,0.001,0.0001,0.5408863984360112,0.638,1000
4,16,random,13,primitive,0,16,256,256,256,3584,4096,0.0001,1e-05,0.9404079962832711,0.946,1000
4,16,random,13,primitive,0,16,256,256,256,3584,4096,1e-05,1.0000000000000002e-06,0.9938748212697968,0.993,1000
4,16,random,13,pipelined,0,16,232,232,232,3248,3712,0.001,0.0001,0.5729640418218752,0.682,1000
4,16,random,13,pipelined,0,16,232,232,232,3248,3712,0.0001,1e-05,0.9458405059763048,0.972,1000
4,16,random,13,pipelined,0,16,232,232,232,3248,3712,1e-05,1.0000000000000002e-06,0.9944474594308351,0.997,1000
4,16,random,14,1d,0,16,71,71,71,994,1136,0.001,0.0001,0.8432932691315757,0.883,1000
4,16,random,14,1d,0,16,71,71,71,994,1136,0.0001,1e-05,0.9831039617882258,0.985,1000
4,16,random,14,1d,0,16,71,71,71,994,1136,1e-05,1.0000000000000002e-06,0.9982974469435651,1.0,1000
4,16,random,14,ancilla,4,20,199,199,199,3582,3980,0.001,0.0001,0.572743401998875,0.698,1000
4,16,random,14,ancilla,4,20,199,199,199,3582,3980,0.0001,1e-05,0.9458028133855882,0.968,1000
4,16,random,14,ancilla,4,20,199,199,199,3582,3980,1e-05,1.0000000000000002e-06,0.9944434831237124,0.998,1000
4,16,random,14,primitive,0,16,267,267,267,3738,4272,0.001,0.0001,0.52679053285699,0.625,1000
4,16,random,14,primitive,0,16,267,267,267,3738,4272,0.0001,1e-05,0.9379285346132915,0.957,1000
4,16,random,14,primitive,0,16,267,267,267,3738,4272,1e-05,1.0000000000000002e-06,0.993612472325481,0.995,1000
4,16,random,14,pipelined,0,16,243,243,243,3402,3888,0.001,0.0001,0.5580322111482124,0.645,1000
4,16,random,14,pipelined,0,16,243,243,243,3402,3888,0.0001,1e-05,0.9433467210555565,0.969,1000
4,16,random,14,pipelined,0,16,243,243,243,3402,3888,1e-05,1.0000000000000002e-06,0.9941849593296396,0.999,1000
4,16,random,15,1d,0,16,49,49,49,686,784,0.001,0.0001,0.8890267565413755,0.916,1000
4,16,random,15,1d,0,16,49,49,49,686,784,0.0001,1e-05,0.98830860248079,0.997,1000
4,16,random,15,1d,0,16,49,49,49,686,784,1e-05,1.0000000000000002e-06,0.998824688427265,0.999,1000
4,16,random,15,ancilla,4,20,191,191,191,3438,3820,0.001,0.0001,0.58572038917275,0.7,1000
4,16,random,15,ancilla,4,20,191,191,191,3438,3820,0.0001,1e-05,0.9479238310349468,0.963,1000
4,16,random,15,ancilla,4,20,191,191,191,3438,3820,1e-05,1.0000000000000002e-06,0.9946662638838821,1.0,1000
4,16,random,15,primitive,0,16,259,259,259,3626,4144,0.001,0.0001,0.5370050837313308,0.65,1000
4,16,random,15,primitive,0,16,259,259,259,3626,4144,0.0001,1e-05,0.9397311301508559,0.952,1000
4,16,random,15,primitive,0,16,259,259,259,3626,4144,1e-05,1.0000000000000002e-06,0.9938032646887845,0.996,1000
4,16,random,15,pipelined,0,16,235,235,235,3290,3760,0.001,0.0001,0.5688525430539145,0.656,1000
4,16,random,15,pipelined,0,16,235,235,235,3290,3760,0.0001,1e-05,0.9451597297518446,0.96,1000
4,16,random,15,pipelined,0,16,235,235,235,3290,3760,1e-05,1.0000000000000002e-06,0.9943758616212618,0.993,1000
4,16,random,16,1d,0,16,62,62,62,868,992,0.001,0.0001,0.8617109744784909,0.899,1000
4,16,random,16,1d,0,16,62,62,62,868,992,0.0001,1e-05,0.9852298119280192,0.986,1000
4,16,random,16,1d,0,16,62,62,62,868,992,1e-05,1.0000000000000002e-06,0.9985131029943082,0.999,1000
4,16,random,16,ancilla,4,20,198,198,198,3564,3960,0.001,0.0001,0.5743496698367975,0.68,1000
4,16,random,16,ancilla,4,20,198,198,198,3564,3960,0.0001,1e-05,0.9460676808343866,0.97,1000
4,16,random,16,ancilla,4,20,198,198,198,3564,3960,1e-05,1.0000000000000002e-06,0.99447132798974,0.994,1000
4,16,random,16,primitive,0,16,266,266,266,3724,4256,0.001,0.0001,0.5280566496778551,0.631,1000
4,16,random,16,primitive,0,16,266,266,266,3724,4256,0.0001,1e-05,0.9381536698238941,0.958,1000
4,16,random,16,primitive,0,16,266,266,266,3724,4256,1e-05,1.0000000000000002e-06,0.9936363193676174,0.994,1000
4,16,random,16,pipelined,0,16,242,242,242,3388,3872,0.001,0.0001,0.5593734159061786,0.672,1000
4,16,random,16,pipelined,0,16,242,242,242,3388,3872,0.0001,1e-05,0.9435731568178544,0.95,1000
4,16,random,16,pipelined,0,16,242,242,242,3388,3872,1e-05,1.0000000000000002e-06,0.9942088201116617,0.991,1000
4,16,random,17,1d,0,16,69,69,69,966,1104,0.001,0.0001,0.8473517736778242,0.888,1000
4,16,random,17,1d,0,16,69,69,69,966,1104,0.0001,1e-05,0.983575976175013,0.989,1000
4,16,random,17,1d,0,16,69,69,69,966,1104,1e-05,1.0000000000000002e-06,0.9983453664848884,1.0,1000
4,16,random,17,ancilla,4,20,197,197,197,3546,3940,0.001,0.0001,0.5759604424780196,0.674,1000
4,16,random,17,ancilla,4,20,197,197,197,3546,3940,0.0001,1e-05,0.9463326224580177,0.963,1000
4,16,random,17,ancilla,4,20,197,197,197,3546,3940,1e-05,1.0000000000000002e-06,0.9944991736354364,0.994,1000
4,16,random,17,primitive,0,16,265,265,265,3710,4240,0.001,0.0001,0.5293258095522759,0.622,1000
4,16,random,17,primitive,0,16,265,265,265,3710,4240,0.0001,1e-05,0.9383788590747152,0.949,1000
4,16,random,17,primitive,0,16,265,265,265,3710,4240,1e-05,1.0000000000000002e-06,0.9936601669820911,0.997,1000
4,16,random,17,pipelined,0,16,241,241,241,3374,3856,0.001,0.0001,0.5607178441881042,0.646,1000
4,16,random,17,pipelined,0,16,241,241,241,3374,3856,0.0001,1e-05,0.943799646932548,0.967,1000
4,16,random,17,pipelined,0,16,241,241,241,3374,3856,1e-05,1.0000000000000002e-06,0.9942326814663506,0.995,1000
4,16,random,18,1d,0,16,53,53,53,742,848,0.001,0.0001,0.8805309264490453,0.898,1000
4,16,random,18,1d,0,16,53,53,53,742,848,0.0001,1e-05,0.9873602589761687,0.992,1000
4,16,random,18,1d,0,16,53,53,53,742,848,1e-05,1.0000000000000002e-06,0.9987288056318999,0.999,1000
