L,N,method,gamma_method,gamma_schedule_model,cirq_version,openfermion_version,numpy_version,pandas_version,matplotlib_version,networkx_version,accounting_model,rotation_inventory_model,hall_decomposition_model,n_ancillas,total_qubits,cnot_depth,total_2q_gates,total_cnot_equiv,total_idle_slots,total_idle_slots_layered,n_1q_nonz,n_exact_t,n_synth_rz,spacetime_volume,p_2q,p_idle,p_1q,mult_fidelity,mult_fidelity_legacy,verification_error
6,36,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,6,42,424,1737,2134,12234,13540,73,168,96,17808,1e-05,1e-05,1e-05,0.8549256407551347,0.8696097783774995,
7,49,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,49,296,1617,3234,4018,8036,246,56,778,14504,0.001,0.001,0.001,1.2678045521909687e-05,0.003560624316311633,
7,49,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,49,296,1617,3234,4018,8036,246,56,778,14504,0.0001,0.0001,0.0001,0.32398555297838944,0.5691972882739248,
7,49,1d_baseline,,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,49,296,1617,3234,4018,8036,246,56,778,14504,1e-05,1e-05,1e-05,0.8934181420656866,0.9452079887864292,
7,49,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,49,100,774,1068,1882,2764,246,56,778,4900,0.001,0.001,0.001,0.021624739374304505,0.07013531117654447,
7,49,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,49,100,774,1068,1882,2764,246,56,778,4900,0.0001,0.0001,0.0001,0.6816634886731525,0.7667355814803393,
7,49,gamma_2d_core,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,not_applicable,0,49,100,774,1068,1882,2764,246,56,778,4900,1e-05,1e-05,1e-05,0.9624047376379328,0.9737894853857997,
7,49,gamma_2d_proper,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,49,196,1535,2110,3692,5384,246,56,778,9604,0.001,0.001,0.001,0.0005543304882605275,0.0053555855018744105,
7,49,gamma_2d_proper,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,49,196,1535,2110,3692,5384,246,56,778,9604,0.0001,0.0001,0.0001,0.4726323466690952,0.5929020108394175,
7,49,gamma_2d_proper,folded,folded_zero_extra_ge7_v1,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,0,49,196,1535,2110,3692,5384,246,56,778,9604,1e-05,1e-05,1e-05,0.9277988049594257,0.9490723346072503,
7,49,gamma_2d_ancilla,ancilla,not_applicable,1.7.0,1.8.1,2.5.2,3.0.5,3.11.1,3.6.1,native_cnot_layers_uniform_nonentangling_v2,ffft_commuting_pauli_rotations_v1,canonical_augmenting_v1,7,56,496,2531,3106,19466,21564,246,56,778,27776,0.001,0.001,0.001,1.9080710178498364e-11,2.767225218888702e-10,
